IMDb_Rank,IMDb_Name,IMDb_Release_Date,Director_EN,Actors_EN,IMDb_Rating_IM,IMDb_Votes,IMDb_Intro
86,A Clockwork Orange,30 October 1980 (Hong Kong),Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates",8.3,"665,318","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
87,Amélie,25 October 2001 (Hong Kong),Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus",8.3,"632,563","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
88,3 Idiots,1 September 2011 (Hong Kong),Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh",8.4,"285,909","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
89,2001: A Space Odyssey,1 March 1969 (Hong Kong),Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester",8.3,"521,743","A space-opera spanning the dawn of man to humanity reaching the stars, 2001: A Space Odyssey tells the story of the Black Monolith, humanity's evolution and the rise of A.I.'s ultimate supercomputer HAL 9000."
90,Double Indemnity,24 February 1949 (Hong Kong),Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",8.3,"122,069",An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
91,Toy Story,16 February 1996 (Hong Kong),John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",8.3,"760,439",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
92,Taxi Driver,12 May 1977 (Hong Kong),Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd",8.3,"613,598","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
93,Singin' in the Rain,12 February 1953 (Hong Kong),Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds",8.3,"188,516",A silent film production company and cast make a difficult transition to sound.
94,Inglourious Basterds,20 August 2009 (Hong Kong),Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth",8.3,"1,076,786","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
95,Full Metal Jacket,31 March 1988 (Hong Kong),Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",8.3,"587,242",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
96,To Kill a Mockingbird,8 August 1963 (Hong Kong),Robert Mulligan,"Gregory Peck, John Megna, Frank Overton",8.3,"262,876","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
97,Ladri di biciclette,7 January 1954 (Hong Kong),Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",8.3,"120,829","In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
98,The Kid,6 February 1921 (USA),Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan",8.3,"91,324","The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
99,The Sting,5 September 1974 (Hong Kong),George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",8.3,"211,779",Two grifters team up to pull off the ultimate con.
100,Toy Story 3,15 July 2010 (Hong Kong),Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack",8.3,"656,431","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
101,Good Will Hunting,5 March 1998 (Hong Kong),Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck",8.3,"738,835","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
102,Jagten,11 April 2013 (Hong Kong),Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",8.3,"229,860","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
103,Snatch,1 September 2000 (UK),Guy Ritchie,"Jason Statham, Brad Pitt, Benicio Del Toro",8.3,"698,255","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
104,Scarface,8 March 1984 (Hong Kong),Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer",8.3,"641,073","In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
105,Monty Python and the Holy Grail,11 August 1977 (Hong Kong),Terry Gilliam,"Graham Chapman, John Cleese, Eric Idle",8.3,"446,287","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
106,Per qualche dollaro in più,6 August 1970 (Hong Kong),Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",8.3,"196,705",Two bounty hunters with the same intentions team up to track down a Western outlaw.
107,The Apartment,26 October 1961 (Hong Kong),Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",8.3,"137,129","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
108,L.A. Confidential,13 November 1997 (Hong Kong),Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce",8.3,"479,991","As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
109,Metropolis,5 March 1927 (Denmark),Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich",8.3,"137,643","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
110,Jodaeiye Nader az Simin,1 March 2012 (Hong Kong),Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat",8.3,"188,137",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
111,Indiana Jones and the Last Crusade,29 June 1989 (Hong Kong),Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody",8.3,"611,783","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against Adolf Hitler's Nazis again to stop them obtaining its powers."
112,Rashômon,26 August 1950 (Japan),Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori",8.3,"128,439","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
113,Up,30 July 2009 (Hong Kong),Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger",8.3,"812,441","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway."
114,All About Eve,16 August 1951 (Hong Kong),Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders",8.3,"103,377",An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.
115,Yôjinbô,25 April 1961 (Japan),Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai",8.3,"92,905",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
116,Batman Begins,16 June 2005 (Hong Kong),Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe",8.3,"1,154,710","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
117,Some Like It Hot,17 December 1959 (Hong Kong),Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon",8.2,"212,030","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
118,Unforgiven,14 January 1993 (Hong Kong),Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman",8.2,"329,923","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man."
