FilmName,enFID,BoxOffice
冒牌卧底,642338,2231.0
可爱的你,627447,2222.0
阿里巴巴2所罗门封印,643594,2204.0
猫与桃花源,655316,2180.0
保持沉默,644629,2156.0
阿里巴巴与神灯,695051,2153.0
麦兜·饭宝奇兵,644259,2126.0
闯堂兔2疯狂马戏团,609631,2122.0
太空熊猫英雄归来,642433,2100.0
妄想症,639470,2096.0
张震讲故事之鬼迷心窍,638434,2093.0
冲锋车,617807,2092.0
一句顶一万句,638956,2090.0
平安中国之守护者,696122,2085.0
龙牌之谜,640826,2083.0
八子,672735,2077.0
邹碧华,641885,2076.0
中国合伙人2,638435,2073.0
谍·莲花,630478,2071.0
魔镜奇缘2,672649,2063.0
藏北秘岭·重返无人区,673593,2058.0
早安公主,653817,2042.0
超能太阳鸭,643246,2008.0
重生爱人,629338,1989.0
回到过去拥抱你,691447,1972.0
最佳男友进化论,655860,1954.0
日不落酒店,670735,1953.0
泡芙小姐,666513,1934.0
看不见的小孩,680829,1930.0
保家卫国——抗美援朝光影纪实,701963,1906.0
北京·纽约,616380,1905.0
悟空奇遇记,656602,1904.0
九龙不败,613643,1877.0
天渠,674436,1871.0
狗眼看人心,686807,1862.0
铠甲勇士捕王,641933,1859.0
相爱相亲,644033,1826.0
谎言西西里,629778,1807.0
功夫联盟,666952,1798.0
麦路人,682049,1796.0
中国蓝盔,663152,1793.0
巴黎假期,618518,1793.0
相声大电影之我要幸福,631100,1790.0
我说的都是真的,644531,1784.0
双生,682889,1768.0
美好的意外,644326,1762.0
深海历险记,676757,1760.0
极致追击,661854,1754.0
极致追击,661854,1754.0
守信少年,629349,1736.0
美人鱼之海盗来袭,638406,1736.0
爱情麻辣烫之情定终身,628132,1735.0
未来机器城,662800,1691.0
旋风九日,627626,1690.0
转型团伙,654423,1677.0
笨贼别跑,642987,1677.0
通灵之六世古宅,628129,1655.0
昆虫总动员2：来自远方的后援军,686272,1646.0
缉枪,640499,1645.0
缉枪,640499,1645.0
抢红,641280,1625.0
抢红,641280,1625.0
第十一回,691763,1611.0
健忘村,643232,1605.0
健忘村,643232,1605.0
魔镜奇缘,639404,1602.0
豆福传,639117,1593.0
豆福传,639117,1593.0
少年,643864,1591.0
阿里巴巴大盗奇兵,631788,1583.0
我的爸爸是国王,662472,1571.0
我的爸爸是国王,662472,1571.0
你好，疯子！,642541,1569.0
那时风华,694745,1560.0
我是女王,626126,1554.0
神秘家族,631024,1546.0
神秘家族,631024,1546.0
吉星高照2015,631302,1530.0
宝贝当家,639418,1527.0
请把你的窗户打开,627375,1514.0
网络凶铃,673964,1507.0
我的青春都是你,692041,1490.0
